job_id,job_title,company,location,skills,experience,education,job_description,salary
JOB1082,Data Analyst,Google,"Hyderabad, IN","REST APIs, Docker, Python, MongoDB, Git, Node.js, Express, Redis, PostgreSQL",0-1 years (Fresher),Bachelor's in Software Engineering,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in REST APIs and Docker. Ideal for candidates aiming to work with modern engineering standards.","₹4,50,000 - ₹10,00,000 / yr"
JOB1083,Machine Learning Engineer,Amazon,"Hyderabad, IN","MongoDB, Python, Git, Express, Docker, Microservices, Redis",3-5 years,Bachelor's in Software Engineering,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in MongoDB and Python. Ideal for candidates aiming to work with modern engineering standards.","₹9,00,000 - ₹20,00,000 / yr"
JOB1084,AI Engineer,Deloitte,"Hyderabad, IN","Microservices, Express, Git, Node.js, Python, MongoDB, PostgreSQL, Docker, REST APIs, Redis",1-2 years,Bachelor's in IT,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in Microservices and Express. Ideal for candidates aiming to work with modern engineering standards.","₹10,00,000 - ₹22,00,000 / yr"
JOB1085,Python Developer,Oracle,"Hyderabad, IN","REST APIs, CSS3, JavaScript, Redux, HTML5, React, TypeScript, UI/UX Design",2-3 years,Bachelor's in Web Development,"Build interactive, accessible, and responsive user interfaces, collaborate with product designers, and optimize web app performance. Seeking candidate skilled in REST APIs and CSS3. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹12,00,000 / yr"
JOB1086,Software Developer,Infosys,"Hyderabad, IN","REST APIs, CSS3, HTML5, UI/UX Design, Redux, JavaScript, TypeScript, Tailwind CSS",2-3 years,Bachelor's in Information Technology,"Build interactive, accessible, and responsive user interfaces, collaborate with product designers, and optimize web app performance. Seeking candidate skilled in REST APIs and CSS3. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹14,00,000 / yr"
JOB1087,Backend Developer,Tata Consultancy Services,"Hyderabad, IN","Redux, CSS3, JavaScript, Git, Tailwind CSS, REST APIs",3-5 years,Bachelor's in Information Technology,"Build interactive, accessible, and responsive user interfaces, collaborate with product designers, and optimize web app performance. Seeking candidate skilled in Redux and CSS3. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹15,00,000 / yr"
JOB1088,Frontend Developer,Wipro,"Hyderabad, IN","Tailwind CSS, HTML5, Git, CSS3, React, TypeScript, JavaScript, UI/UX Design, REST APIs, Redux",0-1 years (Fresher),Bachelor's in Web Development,"Build interactive, accessible, and responsive user interfaces, collaborate with product designers, and optimize web app performance. Seeking candidate skilled in Tailwind CSS and HTML5. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹12,00,000 / yr"
JOB1089,Full Stack Developer,ServiceNow,"Hyderabad, IN","CSS3, Tailwind CSS, Redux, TypeScript, REST APIs, Git",2-3 years,Bachelor's in Information Technology,"Build interactive, accessible, and responsive user interfaces, collaborate with product designers, and optimize web app performance. Seeking candidate skilled in CSS3 and Tailwind CSS. Ideal for candidates aiming to work with modern engineering standards.","₹7,00,000 - ₹18,00,000 / yr"
JOB1090,Business Analyst,Salesforce,"Hyderabad, IN","REST APIs, CSS3, Tailwind CSS, Redux, JavaScript, HTML5, UI/UX Design, Git",3-5 years,Bachelor's in Computer Science,"Build interactive, accessible, and responsive user interfaces, collaborate with product designers, and optimize web app performance. Seeking candidate skilled in REST APIs and CSS3. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹11,00,000 / yr"
JOB1101,Data Scientist,IBM,"New York, NY","REST APIs, SQL, CSS3, HTML5, Python, MongoDB, Docker, JavaScript, Node.js, React",3-5 years,Bachelor's in Computer Science,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in REST APIs and SQL. Ideal for candidates aiming to work with modern engineering standards.,"$110,000 - $150,000 / yr"
JOB1102,Data Analyst,Google,"New York, NY","HTML5, JavaScript, MongoDB, Docker, React, REST APIs, CSS3, SQL, Python",3-5 years,Bachelor's in IT,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in HTML5 and JavaScript. Ideal for candidates aiming to work with modern engineering standards.,"$75,000 - $105,000 / yr"
JOB1103,Machine Learning Engineer,Microsoft,"New York, NY","JavaScript, HTML5, Docker, MongoDB, Git, REST APIs",0-1 years (Fresher),Bachelor's in IT,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in JavaScript and HTML5. Ideal for candidates aiming to work with modern engineering standards.,"$125,000 - $175,000 / yr"
JOB1104,AI Engineer,Amazon,"New York, NY","MongoDB, HTML5, Python, SQL, CSS3, React, Docker, REST APIs, Git",1-2 years,Bachelor's in IT,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in MongoDB and HTML5. Ideal for candidates aiming to work with modern engineering standards.,"$130,000 - $180,000 / yr"
JOB1105,Python Developer,Bloomberg,"New York, NY","JavaScript, MongoDB, REST APIs, Git, Python, React, SQL",3-5 years,Bachelor's in Computer Science,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in JavaScript and MongoDB. Ideal for candidates aiming to work with modern engineering standards.,"$90,000 - $125,000 / yr"
JOB1106,Software Developer,JPMorgan Chase,"New York, NY","SQL, Python, React, Docker, MongoDB, REST APIs, HTML5, CSS3, Git, Node.js, JavaScript",3-5 years,Bachelor's in IT,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in SQL and Python. Ideal for candidates aiming to work with modern engineering standards.,"$95,000 - $135,000 / yr"
JOB1107,Backend Developer,Goldman Sachs,"New York, NY","Docker, Python, JavaScript, Node.js, CSS3, HTML5, MongoDB, React, Git, REST APIs, SQL",2-3 years,Bachelor's in IT,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in Docker and Python. Ideal for candidates aiming to work with modern engineering standards.,"$100,000 - $140,000 / yr"
JOB1108,Frontend Developer,Datadog,"New York, NY","React, Git, Python, JavaScript, Docker, Node.js, MongoDB",Fresher / Entry Level,Bachelor's in Software Engineering,Handle end-to-end full stack web application development from interactive frontend client components to backend APIs and database operations. Seeking candidate skilled in React and Git. Ideal for candidates aiming to work with modern engineering standards.,"$85,000 - $120,000 / yr"
JOB1109,Full Stack Developer,Spotify,"New York, NY","Data Modeling, Communication, SQL, Excel, Process Mapping, Business Analysis, Requirements Gathering, Jira",Fresher / Entry Level,Bachelor's in Computer Science,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Data Modeling and Communication. Ideal for candidates aiming to work with modern engineering standards.","$105,000 - $145,000 / yr"
JOB1110,Business Analyst,Morgan Stanley,"New York, NY","Business Analysis, Data Modeling, Requirements Gathering, Agile, Process Mapping, Jira, SQL, Communication",1-2 years,Bachelor's in Business Administration,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Business Analysis and Data Modeling. Ideal for candidates aiming to work with modern engineering standards.","$80,000 - $110,000 / yr"
JOB1111,Data Scientist,Atlassian,"Australia, AS","SQL, Business Analysis, Power BI, Jira, Data Modeling, Process Mapping, Agile, Requirements Gathering",1-2 years,Bachelor's in Computer Science,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in SQL and Business Analysis. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $105,000 / yr"
JOB1112,Data Analyst,Canva,"Australia, AS","Business Analysis, Requirements Gathering, Process Mapping, Data Modeling, Power BI, Excel, Communication, Agile, SQL",3-5 years,Bachelor's in Computer Science,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Business Analysis and Requirements Gathering. Ideal for candidates aiming to work with modern engineering standards.","$55,000 - $80,000 / yr"
JOB1113,Machine Learning Engineer,Telstra,"Australia, AS","Business Analysis, Jira, Excel, Requirements Gathering, Agile, Data Modeling, Power BI, Process Mapping, SQL",1-2 years,Bachelor's in Business Administration,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Business Analysis and Jira. Ideal for candidates aiming to work with modern engineering standards.","$85,000 - $125,000 / yr"
JOB1114,AI Engineer,Commonwealth Bank,"Australia, AS","Communication, SQL, Requirements Gathering, Power BI, Excel, Jira, Process Mapping, Data Modeling, Business Analysis",Fresher / Entry Level,Bachelor's in Business Administration,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Communication and SQL. Ideal for candidates aiming to work with modern engineering standards.","$90,000 - $135,000 / yr"
JOB1115,Python Developer,ANZ,"Australia, AS","Data Modeling, Jira, Communication, Power BI, Requirements Gathering, SQL, Agile, Business Analysis, Excel, Process Mapping",1-2 years,Bachelor's in Business Administration,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Data Modeling and Jira. Ideal for candidates aiming to work with modern engineering standards.","$65,000 - $95,000 / yr"
JOB1116,Software Developer,Westpac,"Australia, AS","Power BI, Process Mapping, Communication, Jira, Agile, Requirements Gathering, Excel",2-3 years,Bachelor's in Computer Science,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Power BI and Process Mapping. Ideal for candidates aiming to work with modern engineering standards.","$70,000 - $100,000 / yr"
JOB1117,Backend Developer,NAB,"Australia, AS","Power BI, Process Mapping, Agile, Requirements Gathering, Excel, Communication",2-3 years,Bachelor's in Business Administration,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Power BI and Process Mapping. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $105,000 / yr"
JOB1118,Frontend Developer,WiseTech Global,"Australia, AS","Power BI, Business Analysis, Communication, Excel, Requirements Gathering, Process Mapping, Agile, Jira, SQL",Fresher / Entry Level,Bachelor's in Information Systems,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Power BI and Business Analysis. Ideal for candidates aiming to work with modern engineering standards.","$60,000 - $90,000 / yr"
JOB1119,Full Stack Developer,Macquarie Group,"Australia, AS","Data Modeling, Jira, Power BI, Agile, SQL, Business Analysis, Process Mapping, Requirements Gathering, Communication, Excel",1-2 years,Bachelor's in Computer Science,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Data Modeling and Jira. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $110,000 / yr"
JOB1120,Business Analyst,REA Group,"Australia, AS","Power BI, Communication, Excel, Process Mapping, Requirements Gathering, Jira, Data Modeling, SQL, Agile",Fresher / Entry Level,Bachelor's in Computer Science,"Bridge the gap between business stakeholders and technical engineering teams, gather product requirements, and document workflow models. Seeking candidate skilled in Power BI and Communication. Ideal for candidates aiming to work with modern engineering standards.","$60,000 - $85,000 / yr"
